Location,NEHALEM BAY STATE PARK,UMPQUA STATE SCENIC CORRIDOR,WILLIAM M TUGMAN STATE PARK,CARL G WASHBURNE/PONSLER VIEWPOINT,SADDLE MOUNTAIN STATE NATURAL AREA,SUNSET BAY STATE PARK,SMELT SANDS STATE RECREATION SITE,CAPE SEBASTIAN STATE SCENIC CORRIDOR,PISTOL RIVER STATE SCENIC VIEWPOINT,TOLOVANA BEACH STATE RECREATION SITE,OSWALD WEST STATE PARK,BEVERLY BEACH STATE PARK,NESKOWIN BEACH STATE RECREATION SITE,HARRIS BEACH STATE RECREATION AREA,FORT STEVENS STATE PARK,CAPE MEARES STATE SCENIC VIEWPOINT,FOGARTY CREEK STATE RECREATION AREA,HECETA HEAD LIGHTHOUSE SCENIC VIEWPOINT,SOUTH BEACH STATE PARK,GEISEL MONUMENT STATE HERITAGE SITE,BULLARDS BEACH STATE PARK,YACHATS OCEAN ROAD STATE NATURAL SITE,NEPTUNE STATE SCENIC VIEWPOINT,DRIFTWOOD BEACH STATE RECREATION SITE,FACE ROCK STATE SCENIC VIEWPOINT,DEL REY BEACH STATE RECREATION SITE,MCVAY ROCK STATE RECREATION SITE,YAQUINA BAY STATE RECREATION SITE,ELLMAKER STATE WAYSIDE,SEAL ROCK STATE RECREATION SITE,BRIAN BOOTH STATE PARK,ROADS END STATE RECREATION SITE,CAPE BLANCO STATE PARK,PORT ORFORD HEADS STATE PARK,YACHATS STATE RECREATION SITE,BOILER BAY STATE SCENIC VIEWPOINT,ARCADIA BEACH STATE RECREATION SITE,HUG POINT STATE RECREATION SITE,ECOLA STATE PARK,ROCKY CREEK STATE SCENIC VIEWPOINT
2002,"191,932","45,864","190,652","198,228","47,238","775,386","229,996","72,108","77,552","428,490","413,304","171,800","205,796","1,116,944","919,614","188,022","185,974","551,004","352,680","17,016","488,004","182,092","506,508","88,124","307,696","97,102","47,792","1,206,786","206,520","188,374","294,076","404,616","199,108","81,132","452,310","590,500","234,302","244,000","369,558","201,868"
2003,"211,462","26,788","180,228","291,952","50,574","770,220","151,484","74,048","67,604","404,844","526,964","179,098","195,484","1,163,272","904,782","315,310","162,876","483,220","602,510","16,572","402,460","177,742","451,492","87,938","258,432","97,008","112,180","1,071,638","253,160","232,568","330,752","369,074","216,272","117,240","351,558","556,364","222,392","149,922","395,222","178,524"
2004,"208,062","31,460","183,048","202,940","61,158","677,306","261,316","69,380","65,132","437,708","738,782","171,110","196,972","1,129,416","880,166","371,072","163,792","445,236","706,782","15,348","470,728","251,228","660,496","188,808","239,672","92,870","122,628","1,365,870","291,152","180,832","175,336","409,238","217,108","114,544","470,078","537,808","381,294","230,138","441,194","181,684"
2005,"187,160","27,580","180,596","296,208","56,252","683,548","114,868","58,240","59,736","419,804","617,998","168,422","201,080","1,033,888","805,710","392,080","159,378","473,136","641,342","15,294","397,920","234,020","773,764","170,468","277,988","90,540","129,908","1,439,148","285,544","165,704","160,358","401,818","218,272","110,964","526,000","490,476","378,248","240,272","479,522","172,528"
2006,"187,402","24,380","200,484","192,308","48,216","612,838","187,104","75,048","55,396","441,610","729,632","155,344","202,284","1,143,864","910,018","393,096","162,022","501,972","634,504","15,416","379,420","204,960","452,688","167,160","259,016","95,794","126,152","1,347,752","292,448","173,488","187,634","459,460","204,136","104,060","481,352","551,200","346,954","190,408","416,022","178,740"
2007,"200,660","29,152","222,460","183,508","58,278","683,278","239,040","80,580","68,108","550,962","961,698","169,054","191,132","1,099,256","854,402","484,236","188,670","450,376","692,454","13,834","409,176","212,870","503,168","181,980","248,704","98,096","118,360","1,441,598","302,456","183,356","167,834","449,572","244,516","124,136","616,536","529,080","407,638","250,746","526,778","174,708"
2008,"208,278","25,180","198,284","212,148","25,638","563,526","221,572","77,188","68,928","482,194","623,690","143,814","176,892","1,060,140","854,348","462,388","197,122","336,288","621,402","13,590","339,292","175,164","434,140","146,780","220,044","89,552","108,272","1,518,138","292,784","181,356","175,892","419,032","184,656","112,112","612,304","479,220","296,810","278,276","552,198","157,916"
2009,"355,754","25,564","185,228","197,340","48,036","697,998","249,652","77,592","80,668","533,474","526,492","165,770","188,764","1,070,456","1,007,730","511,452","210,134","786,488","744,398","14,346","383,160","220,044","430,564","169,380","246,960","93,890","120,000","1,466,756","288,952","192,418","195,856","397,240","220,436","129,476","517,136","540,920","347,796","306,282","469,796","164,048"
2010,"343,358","26,332","146,512","209,528","52,348","582,954","234,624","91,260","58,564","578,838","519,566","165,096","182,176","889,636","986,208","442,444","206,662","799,616","644,486","13,630","406,020","215,532","440,820","152,328","239,224","85,506","120,948","1,166,906","295,604","180,976","172,070","429,534","197,752","123,600","383,822","551,912","374,954","442,774","642,222","166,204"
2011,"390,024","28,800","206,516","220,628","55,778","530,778","297,224","205,484","124,116","547,584","418,150","164,184","173,564","930,904","877,424","421,352","210,230","719,280","614,706","15,834","395,960","239,872","455,332","133,596","267,364","89,468","130,332","1,143,222","287,224","185,046","207,121","407,360","207,972","112,496","394,050","533,320","287,292","210,084","331,866","178,056"
2012,"541,610","28,180","161,128","195,272","59,784","544,070","302,216","86,684","86,236","441,876","521,114","146,646","193,328","1,479,276","1,435,327","428,036","202,814","730,240","974,638","11,526","403,116","208,294","618,368","142,072","257,816","87,416","143,420","1,401,858","285,904","198,774","220,877","420,050","178,044","100,856","385,812","534,664","410,280","174,342","420,740","163,908"
