t,Booth,Prineville,Lake Owyhee,Hat Rock,Ochoco,Fort Rock,Joseph Stewart,Smith Rock,Tumalo,Goose Lake,White River Falls,Pilot Butte,Red Bridge,Sumpter,Clyde Holliday,Minam,Peter Skene,Battle Mountain,Lapine,Cline Falls,Deshutes River,Collier,Valley of Rogue,Emigrant Springs
2002,7826,108496,72894,133466,91746,22038,214248,463672,144768,40800,52722,762852,21454,73650,159436,30664,365096,27258,99932,181284,233260,400762,1854020,108488
2003,12398,69356,54476,133308,83698,23012,230152,437720,173104,46726,31048,772072,19086,80240,194152,29126,341692,26072,119726,213712,241098,397746,1804796,107732
2004,8602,226870,78092,114298,149550,23070,235328,449116,171848,34680,45162,752196,18904,71444,159804,31828,348884,20880,195716,294980,299244,407536,1569376,98574
2005,6354,314380,91666,124372,192016,22842,207300,411184,170268,26876,32632,817016,20858,81368,163204,52266,365600,22954,195914,301216,237774,396032,1525396,96892
2006,8390,337770,135552,118690,203408,21178,191084,394968,203200,22024,32724,759108,15520,98846,150464,49512,333752,22032,147898,280600,229336,324738,1649852,95710
2007,6368,240996,93872,118630,202552,26280,171328,463560,174404,27926,41702,933460,19376,89762,111380,50234,399080,22158,161902,350684,259538,360980,1663748,98348
2008,16234,314026,80712,108444,160204,15578,198144,444772,144964,31964,36276,710828,22792,3998,159448,34154,327700,21452,201238,235324,242556,337586,1511872,92232
2009,16734,345606,104338,143214,182952,21676,197624,401212,241276,33510,31778,809508,28398,22542,169036,42064,330052,20184,229390,279468,272290,351454,1522128,106544
2010,11438,217984,101132,152330,175960,25294,163700,436684,251272,25888,33586,849296,25310,88512,170808,56322,340692,24596,146020,253960,266140,366862,1504840,107300
2011,2104,304462,184936,144249,197164,36868,178608,482224,177748,45594,26638,870068,22178,81640,160136,58762,360636,26436,169172,235384,255686,335050,1553924,94740
2012,9952,462052,192024,142228,226604,26598,193148,483448,187496,20166,31832,998236,17964,80950,178400,41324,353272,23778,122536,263296,255068,515108,1617372,97458
2013,14080,584246,151636,110210,221864,27766,262672,545668,263208,20878,78230,881772,18194,81108,169072,39024,370736,25058,158506,288572,278206,349238,1727196,104058
2014,11904,513666,113830,252618,232144,31638,372160,635908,319168,23716,40046,960768,26918,77794,170628,30924,356356,22694,90400,264744,299264,362936,1660796,100206
2015,94138,428486,113806,279712,275208,35464,368396,746384,305332,57174,33420,906372,49760,72294,188436,50466,411668,22856,192178,312020,291268,403994,1734712,109622
2016,64488,513778,154472,306718,346426,38212,441652,744380,276844,100802,29572,1253804,17988,56776,207468,56088,450744,26232,254864,314804,267954,440896,1840616,112064
2017,13460,548488,281594,277862,320712,53700,301816,776632,321616,21224,88628,872184,21428,101614,206668,49178,415856,31308,283810,332064,264318,355938,1790076,121584
