t,BanksVernonia,BaldPeaks,NorthSantiam,Mayer,BridalVeilFalls,Maples,Champoeg,ElijahBristow,PortlandWomens,Benson,Tyron,Molalla,Dabney,RoosterRock,DaltonPoint,HistoricalColumba,MiloMciver,Silverfalls,Viento,GuyWTalbot,StarvationCreek,LewisandClark
2002,29018,72012,50776,178034,179936,679120,374374,61864,266680,127272,313756,192228,179754,421144,155772,261828,371080,827876,75762,340476,174616,247110
2003,27580,71652,48810,186370,168084,885088,339944,106670,243788,110730,386554,221452,196472,391852,223376,245186,331564,813808,73144,304024,206936,287530
2004,14138,31748,67464,185724,166804,879756,329204,124452,323926,75652,383548,214460,178680,444372,112572,214178,370364,880424,94194,326212,182936,259886
2005,20955,63468,39632,172350,172564,780604,332860,80856,300774,99584,371212,237072,180394,441536,150320,255602,336644,789908,63508,341208,177788,240608
2006,7491,65904,34510,165622,163550,887124,347268,82828,297598,98796,398266,219648,177862,408908,155720,256668,337108,783084,59848,332722,180328,240446
2007,19637,83180,36086,170960,168176,759380,373568,191310,288414,93932,439662,224948,190732,407008,157076,266408,337088,799592,64660,325918,183884,231714
2008,14118,79944,29802,165762,164640,846648,413000,160694,277720,90680,480278,236504,201560,409660,144808,278966,327756,850036,63216,317496,168948,236636
2009,15638,58876,32166,173734,181626,852496,455768,180198,285356,111394,507034,248060,206434,480868,184916,308068,409580,1050760,70908,329612,188060,235602
2010,28152,65880,49190,174108,190476,1633532,469712,211652,280964,115154,434252,224452,229552,487544,211012,341582,397432,990936,76620,349314,214232,284250
2011,250995,69000,53750,182518,155736,1601264,443008,183792,267540,106950,538778,227884,256050,378040,184668,360790,381264,927456,72424,42972,180148,23200
2012,159052,108240,71384,154462,221566,867964,442476,176140,307368,118624,627008,223120,232560,486256,171620,332300,368616,1033336,72302,306010,186944,257046
2013,118496,141304,70096,203352,178254,1811876,476364,147158,361104,123340,519414,246968,244174,454756,195408,302708,449920,892192,61158,253764,188264,254550
2014,88564,146768,63420,271554,230584,1560928,499924,138200,356460,184874,457212,272920,229496,548384,216260,291618,387668,798140,74382,449828,183796,272482
2015,94653,188392,62196,205552,329400,840928,536196,170668,413184,122956,535196,315080,260504,659764,223408,436078,476056,1004916,73802,408872,173504,339848
2016,93087,182608,77820,490978,320016,902332,532432,196778,453722,141530,565482,328620,247924,636268,217136,262552,445720,1122040,102302,511922,222800,346830
2017,70253,208764,76580,346754,231632,661332,521820,187200,383794,97500,334348,328944,201806,557788,202420,278426,437288,1154944,97846,408990,207396,314184
