Sum of Visits,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Agate Beach State Recreation Site,Alderwood State Wayside,Alfred A. Loeb State Park,Arcadia Beach State Recreation Site,Arizona Beach,Bald Peak State Scenic Viewpoint,Bandon State Natural Area,Banks-Vernonia State Trail,Bates State Park,Battle Mountain Forest State Scenic Corridor,Beachside State Recreation Site,Benson State Recreation Area,Beverly Beach State Park,Blue Mountain MU Admin,Bob Straub State Park,Boiler Bay State Scenic Viewpoint,Booth State Scenic Corridor,Bradley State Scenic Viewpoint,Brian Booth State Park,Bridal Veil Falls State Scenic Viewpoint,Bullards Beach State Park,Cape Arago State Park,Cape Blanco State Park,Cape Lookout State Park,Cape Meares State Scenic Viewpoint,Cape Sebastian State Scenic Corridor,Carl G. Washburne Memorial State Park,Cascadia State Park,Casey State Recreation Site,Catherine Creek State Park,Champoeg State Heritage Area,Chandler State Wayside,Clay Myers State Natural Area at Whalen Island,Cline Falls State Scenic Viewpoint,Clyde Holliday State Recreation Site,Collier Memorial State Park,Cottonwood Canyon State Park,Cove Palisades State Park,Crissey Field State Recreation Site,Crown Point State Scenic Corridor- Vista House,D River State Recreation Site,Dabney State Recreation Area,Dalton Point Recreation Site,Del Rey Beach State Recreation Site,Depoe Bay Whale Center,Deschutes River State Recreation Area,Detroit Lake State Recreation Area,Devil's Lake State Recreation Area,Devil's Punch Bowl State Natural Area,Dexter State Recreation Site,Driftwood Beach State Recreation Site,Ecola State Park,Elijah Bristow State Park,Ellmaker State Wayside,Emigrant Springs State Heritage Area,Face Rock State Scenic Viewpoint,Fall Creek State Recreation Area,Fall Creek- Winberry,Farewell Bend State Recreation Area,Fogarty Creek State Recreation Area,Fort Rock State Natural Area,Fort Stevens Historical Area,Fort Stevens State Park,Fort Yamhill State Heritage Area,Geisel Monument State Heritage Site,Gleneden Beach State Recreation Site,Golden and Silver Falls State Natural Area,Goose Lake State Recreation Area,Governor Patterson Memorial State Recreation Site,Guy  W. Talbot State Park,H.B. Van Duzer Forest State Scenic Corridor,Harris Beach State Park,Hat Rock State Park,Heceta Head Lighthouse State Scenic Viewpoint,Hilgard Junction State Park,Historic Columbia River Highway State Trail,Holman State Wayside,Hug Point State Recreation Site,Humbug Mountain State Park,Illinois River Forks State Park,Iwetemlaykin State Heritage Site,J. S. Burres,Jackson F. Kimball State Recreation Site,Jasper State Recreation Site,Jessie M. Honeyman Memorial State Park,Joseph H. Stewart State Recreation Area,Koberg Beach State Recreation Site,"L.L. ""Stub"" Stewart Memorial State Park",Lake Owyhee State Park,LaPine State Park,Lewis and Clark State Recreation Site,Lost Creek State Recreation Site,Lowell State Recreation Site,Luckiamute Landing State Natural Area,Manhattan Beach State Recreation Site,Maples Rest Area,Mary S. Young State Recreation Area,Maud Williamson State Recreation Site,Mayer State Park,McVay Rock State Recreation Site,Milo McIver State Park,Minam State Recreation Area,Molalla River State Park,Munson Creek Falls State Natural Site,Nehalem Bay State Park,Neptune State Scenic Viewpoint,Neskowin Beach State Recreation Site,North Santiam State Recreation Area,OC&E Woods Line State Trail,Oceanside Beach State Recreation Site,Ochoco State Scenic Viewpoint,Ontario State Recreation Site,Ophir Wayside,Oswald West State Park,Otter Crest State Scenic Viewpoint,Otter Point State Recreation Site,Paradise Point State Recreation Site,Peter Skene Ogden State Scenic Viewpoint,Pilot Butte State Scenic Viewpoint,Pistol River State Scenic Viewpoint,Port Orford Heads State Park,Portland Women's Forum State Scenic Viewpoint,Prineville Reservoir State Park,Red Bridge State Wayside,Roads End State Recreation Site,Rocky Creek State Scenic Viewpoint,Rooster Rock State Park,Saddle Mountain State Natural Area,Samuel H. Boardman State Scenic Corridor,Sarah Helmick State Recreation Site,Seal Rock State Recreation Site,Seneca Fouts Memorial State Natural Area,Seven Devils State Recreation Site,Shore Acres State Park,Silver Falls State Park,Sitka Sedge State Natural Area,Siuslaw North Jetty,Smelt Sands State Recreation Site,Smith Rock State Park,South Beach State Park,Starvation Creek State Park,Stonefield Beach State Recreation Site,Sumpter Valley Dredge State Heritage Area,Sunset Bay State Park,Sunset Beach,Tolovana Beach State Recreation Site,TouVelle State Recreation Site,Tryon Creek MU Admin,Tryon Creek State Natural Area,Tseriadun State Recreation Area,Tub Springs State Wayside,Tumalo State Park,Ukiah-Dale Forest State Scenic Corridor,Umpqua Lighthouse State Park,Umpqua State Scenic Corridor,Unity Lake State Recreation Site,Valley of the Rogue State Park,Viento State Park,W. B. Nelson State Recreation Site,Wallowa Lake Highway Forest State Scenic Corridor,Wallowa Lake State Park,Warm Springs State Recreation Site,Washburne State Wayside,White River Falls State Park,Willamette Mission State Park,Willamette River Greenway- Brown's Landing,Willamette River Greenway- Christensen's Boat Ramp,Willamette River Greenway- Cloverdale Access,Willamette River Greenway- French Prairie Access,Willamette River Greenway- Log Jam Access,Willamette River Greenway- Lynx Hollow Access,Willamette River Greenway- Marshall Island Access,Willamette River Greenway- Parrett Mountain Access,Willamette River Greenway- Pengra Access,Willamette River Greenway- Truax Island Access (Colorado Bar),William M. Tugman State Park,Winchuck State Recreation Site,Yachats Ocean Road State Natural Site,Yachats State Recreation Area,Yaquina Bay State Recreation Site,(blank),Grand Total
2002,178116,36632,147626,234302,,72012,332364,29017.5,,27258,74542,127272,171800,,139044,590500,7826,165788,294076,179936,488004,345576,199108,,188022,72108,198228,97552,231518,20800,374374,21788,,181284,159436,400762,,637906,,577084,1224684,179754,155772,97102,,233260,168820,147330,515302,128932,88124,369558,61864,206520,108488,307696,85244,,349054,185974,22038,165433.5,919614,,17016,255068,20030,40800,194234,340476,471488,1116944,133466,551004,71396,261828,182496,244000,110636,203228,,,19712,,679248,214248,340388,,100332,99932,247110,183498,62376,,96784,679120,358474,104392,178034,47792,371080,30664,192228,,191932,506508,205796,50776,52417,366958,91746,205656,,413304,325536,28610,105536,365096,762852,77552,81132,266680,232676,21454,404616,201868,421144,47238,748040,110180,188374,,62936,258952,910248,,,229996,463672,546258,174616,62018,73650,775386,,428490,339096,,313756,,67772,144768,30108,378642,45864,21512,1854020,75762,71560,85524,468526,293962,67312,52722,331602,,,,,,,153310,,,26836,190652,96400,182092,452310,1206786,,38352540
2003,206010,74794,133390,226440,,71652,397552,27580,,26072,237554,129506,179098,,138424,556364,12398,228050,330752,198882,476028,329112,216272,,315310,74048,291952,89612,239376,19966,381934,20116,,213712,194152,397746,,715726,,596000,1162272,238312,267376,97008,,250736,134944,143448,583792,270610,87938,395222,118564,253160,107732,303808,111270,,373708,162876,23012,171616,904782,,16572,271176,21778,46726,155906,304024,469540,1163272,152128,483220,76510,281698,193040,159762,127624,170100,,,20538,2884,776772,230152,357708,,118474,119726,287530,196636,188796,,89398,885088,386170,141164,186370,112180,449440,29126,221452,,221418,451492,195484,48810,47457.5,358388,89798,222550,,526964,400544,23674,129912,341692,772072,67604,117240,243788,203892,19086,369074,178524,391852,50574,772790,125856,232568,,62296,273756,894916,,,151484,437720,629746,228008,40124,80240,838732,,439814,335336,28640,529980,,70628,173104,40286,236270,26788,22484,1804796,89326,46756,81664,445476,207456,113284,31048,431798,,,,,,,192770,,,32052,200432,120356,177742,351558,1071638,,40342053.5
2004,206834,117408,129784,381294,,31748,443664,14137.5,,23872,73924,75652,171110,,134216,537808,8602,146356,175336,166804,470728,329856,217108,96574,371072,69380,202940,81288,227840,12502,360672,16464,,307676,159804,407536,,554878,,701800,1131824,178680,112572,92870,,299244,120312,137478,729300,226442,171188,441194,124452,291152,98574,239672,203200,,377362,163792,24470,164253,880166,,15348,251920,19674,37480,233494,326212,455922,1129416,114298,445236,59928,221284,225372,214388,80584,172524,,,19388,44472,975660,235328,312300,,145532,201556,259886,177580,223950,,78930,879756,,80108,185724,122628,370364,31828,214460,,190586,660496,196972,67464,56680.5,352878,158230,266012,,738782,476244,30966,157868,377432,780196,65132,114544,323926,321160,18904,409238,181684,444372,61158,778970,80656,180832,,75044,253680,981680,,376564,261316,449116,706782,182936,44694,71444,677306,,437708,334032,,383548,,69512,176704,28742,463352,31460,34312,1569376,94194,51398,76004,461618,253000,160540,45162,356066,,,,,,,213332,,,27898,183048,150080,251228,470078,1365870,,41457601
2005,197232,61986,124934,378248,,63468,367708,20955,,22954,63146,99584,134962,,141696,490476,6354,136636,160358,172564,397920,272280,218272,101016,392080,58240,296208,93280,202152,10974,385752,8140,,301216,163204,396032,,571486,,680800,1080800,180394,150320,90540,,237774,136164,139402,635746,227734,170468,479522,80856,285544,96892,277988,100042,,148230,159378,22842,170336,805710,,15294,229524,17580,26876,213892,341208,453176,1033888,124372,473136,75214,255602,237328,240272,78756,157392,,,16342,53512,499168,207300,319484,,184642,195914,240608,235570,207198,,96230,780604,,137396,172350,129908,336644,52266,237072,,187160,773764,201080,39632,56793.5,340894,207348,278250,,617998,464732,30020,115320,365600,817016,59736,110964,300774,403580,20858,401818,172528,441536,56252,764798,98772,165704,,69972,232456,911700,,351156,114868,411184,641342,179612,30810,81368,683548,8542,419804,261616,,380446,,69904,170268,25956,344216,27580,40794,1525396,63508,53946,119168,429224,174032,251160,32632,287638,,,,,,,249764,,,33716,180596,110208,234020,526000,1439148,,39604938.5
2006,219130,45304,147056,372490,,65904,324064,14376.5,,22032,93788,98796,155344,,151256,551200,9310,134346,187634,163550,379420,295512,204136,171194,393096,75048,192308,81516,185496,11108,421956,6944,,299004,150464,324738,,409912,,675200,1206252,177862,155720,95794,,239604,168360,143812,708024,242146,167160,443420,82828,292448,95710,259016,75912,,128806,162022,23528,172699.5,845838,,15416,233168,18552,25464,205226,332722,475548,1143864,118690,501972,76544,256668,189428,203780,44316,161040,,,18136,59364,669684,191084,296180,,218670,159850,240446,243182,137618,,74940,887124,,89588,165622,126152,337108,49512,219648,,199482,452688,202284,39990,63885,347202,203408,124290,165230,768892,476368,26626,157668,333752,862572,55396,104060,297598,430246,15520,459460,178740,408908,51316,760626,107024,173488,,59376,217192,914876,,792512,187104,394968,656054,180328,40116,98846,612838,116650,464610,283624,,408398,17034,66088,210656,20036,387030,21524,23972,1649852,59848,66272,71784,227198,257446,193960,36638,340820,,,,,,,180900,,,27938,200484,110496,204960,503404,1347752,,40226203
2007,216810,43282,125412,407638,,83180,320820,19636.5,,22158,66986,93932,169054,,134740,529080,7682,130720,167834,168176,466192,371208,215480,159098,484236,80580,183508,66128,182546,8732,452824,29392,,432124,111380,360980,,567202,,663448,1140364,190732,157076,98096,,259538,145508,144562,668468,301700,181980,526778,191310,302456,98348,284596,60348,,131398,188670,27274,170810,854402,,13834,223388,20108,33822,221478,325918,456322,1099256,118630,450376,83838,266408,103244,250746,57924,176020,,,18302,68914,629968,171328,269492,,176640,184228,231714,195276,205070,,75430,759380,,87248,170960,118360,337088,50234,224948,,200660,503168,191132,36086,65129,322696,202552,66312,135858,961698,458208,40824,120588,399080,1030532,68108,124136,288414,337060,19376,449572,174708,407008,58278,809264,79136,183356,,71756,252700,892224,,412244,239040,463560,692454,183884,56462,89762,744234,106884,550962,326328,,440680,28020,67128,174404,25216,357902,29152,18548,1663748,64660,59550,70048,346854,233836,227244,41702,318894,,,,,,,221064,,,38604,240968,146332,212870,616536,1441598,,41443495.5
2008,210162,43788,124002,305424,,79944,306020,14118,,21452,53274,90680,143814,,96764,479220,16234,117990,175892,164640,339292,313500,184656,158956,462388,77188,212148,47332,168842,9432,522256,22200,,235324,159536,337586,,462294,15404,758516,1064600,201560,144808,89552,,242556,149884,142582,646666,218552,146780,558448,160694,292784,92232,220044,85492,58546,109470,197122,15578,182342,854348,41972,13590,72564,19064,31964,169142,317496,405710,1060140,108444,336288,73036,278966,,285132,62480,172084,,,14714,137338,594196,198144,206404,7483,167238,201238,236636,191464,139650,,76806,846648,,77656,165762,108272,327756,34154,236504,,214670,434140,176892,29802,65371,328180,160204,54414,130668,633868,434884,25122,73122,327700,710828,68928,112112,277720,370898,22792,419032,157916,409660,26480,884060,80812,181356,,57924,117855.5,993708,,406616,221572,444772,621402,168948,68372,4000,563526,57886,491586,312856,,527720,31190,77500,144964,15654,617674,26640,48296,1511872,63216,42110,64096,381540,179084,200612,36276,281948,,,,,,,234572,,,31998,198284,95636,175164,612304,1518138,,38680185.5
2009,211588,61666,103898,347796,27880,58876,307172,15638,,20184,151986,111394,165770,186422,126720,540920,16734,113910,195856,181626,383160,341692,220436,107226,509052,77592,197340,44684,180506,11228,508740,21668,11420,279468,169036,351454,,508708,176576,645904,1113164,206434,184916,93890,,272290,274080,148012,695978,366406,169380,469796,180198,288952,106544,246960,110310,110310,168042,210134,21676,180169,1007730,52148,14346,60868,24162,33510,224258,329612,442000,1070456,143214,786488,76344,298924,,306282,66920,146676,,,22830,89496,657100,197624,217756,9691.5,174362,149786,235602,169002,222014,,74534,852496,,78572,173734,120000,409580,42064,248060,,355754,430564,188764,32166,68444,375034,182952,96464,142490,526492,354984,28676,54720,330052,809508,80668,129476,285356,415318,28398,397240,164048,480868,48036,826686,90484,192418,,76692,242128,1250060,,453968,249652,401212,744398,188060,70724,28412,640774,99536,533474,297780,,507034,41958,79140,176108,22566,300908,25564,36250,1522128,70908,61312,81308,348802,211148,102228,31778,312112,,,,,,,161984,,56316,3154,185228,100220,220044,517136,1466756,,41572828.5
2010,205572,47788,83642,374954,27154,65880,290136,28152,,24596,63478,115154,165096,,123412,551912,11438,58256,171858,190476,406020,339132,197752,159212,442444,91260,209528,63084,191452,3778,469712,15684,55752,256960,170808,366862,,515816,166984,633904,1122684,229552,211012,85506,13208,266140,125356,132600,529936,301240,152328,642222,211652,295604,107300,239224,6366,58444,161042,206662,28652,165581,986208,44292,13630,227244,21726,25888,228506,349314,450006,889636,152330,799616,81602,341582,,442774,70400,118464,,,20008,87234,610844,163700,339676,45089.5,169242,146776,284250,140626,237394,,68218,1633532,,91668,174108,120948,397432,56322,224452,29830,343358,440820,182176,49190,74609,332346,175960,111974,88910,519566,455800,27580,61042,340692,830440,58564,123600,280964,352018,25310,429534,166204,487544,52348,814306,93644,180976,,76372,228500,990936,,422160,234624,436684,644486,214232,37000,88512,582954,88850,578838,289432,,434252,56526,69224,265876,21404,315340,28584,28430,1504840,76620,82872,108820,392798,242324,145162,33586,293534,,,20292,,16596,,130470,49240,59520,678,146512,83352,215532,383822,1233798,,41385035.5
2011,205262,53522,94594,287292,20020,69000,306412,90933.5,0,26436,60992,106950,164184,,128808,533320,2104,96956,203800,155736,395960,292136,207972,132484,421352,89780,220628,57544,169250,120,443008,0,54660,235384,160136,335050,,469874,173692,542060,1024584,256050,184668,89468,,255686,122352,132240,458760,340440,133596,331866,183792,287224,94740,267364,25372,81600,119196,210230,30238,144884,877424,42972,15834,177812,17326,45594,215264,360790,421326,930904,144249,719280,47354,338978,,210084,68796,112556,,,22576,66942,529976,178608,240000,23200,237092,169172,271052,149694,160376,,69164,1601264,,92748,182518,130332,381264,58762,227884,41586,390024,455332,173564,53750,72180.5,280156,197164,58280,117440,466350,484072,27124,64282,360636,870068,124116,112496,267540,372142,22178,407360,178056,378040,55778,726192,82544,185046,,58592,252260,927456,,503268,297224,482224,614706,180148,23400,81640,530778,77700,547584,273996,,538778,40554,70288,177748,21116,322200,28800,29830,1553924,72424,50800,131104,315792,208750,194072,26638,277310,,,23882,,14270,26066,81680,43288,83634,0,206516,66900,239872,394050,1143222,,39578909
